Fecha,Producto,Categoría,Precio (€),Cantidad vendida,Método de pago,Cliente nuevo (Sí/No)
2025-02-19,Impresora Jet,Impresión,250,1,Tarjeta,No
2025-02-23,Impresora Jet,Impresión,250,5,Tarjeta,Sí
2025-02-12,Mousepad XXL,Periféricos,15,5,Tarjeta,No
2025-02-22,Ratón ABC,Periféricos,20,9,PayPal,No
2025-02-05,Webcam 4K,Periféricos,100,6,PayPal,Sí
2025-02-16,Impresora Jet,Impresión,250,3,PayPal,Sí
2025-02-15,Auriculares Pro,Audio,80,1,Tarjeta,No
2025-02-12,Auriculares Pro,Audio,80,5,Tarjeta,Sí
2025-02-23,Auriculares Pro,Audio,80,6,PayPal,Sí
2025-02-26,Impresora Jet,Impresión,250,3,PayPal,No
2025-02-13,Auriculares Pro,Audio,80,4,PayPal,No
2025-02-17,Ratón ABC,Periféricos,20,4,PayPal,No
2025-02-01,Teclado XYZ,Periféricos,30,3,Financiación,No
2025-02-01,Teclado XYZ,Periféricos,30,8,Financiación,Sí
2025-02-19,Ratón ABC,Periféricos,20,2,PayPal,Sí
2025-02-26,Disco SSD,Almacenamiento,120,2,Tarjeta,No
2025-02-21,Impresora Jet,Impresión,250,2,PayPal,No
2025-02-25,"Laptop 15""",Portátiles,900,5,Criptomoneda,No
2025-02-09,Auriculares Pro,Audio,80,8,Financiación,No
2025-02-18,"Laptop 15""",Portátiles,900,1,PayPal,No
2025-02-12,Auriculares Pro,Audio,80,1,PayPal,No
2025-02-09,Monitor HD,Pantallas,150,1,PayPal,No
2025-02-22,Mousepad XXL,Periféricos,15,3,Tarjeta,Sí
2025-02-19,Mousepad XXL,Periféricos,15,9,Tarjeta,No
2025-02-19,"Laptop 15""",Portátiles,900,5,Tarjeta,No
2025-02-27,"Laptop 15""",Portátiles,900,5,PayPal,No
2025-02-07,Mousepad XXL,Periféricos,15,5,Tarjeta,Sí
2025-02-05,Impresora Jet,Impresión,250,3,Financiación,No
2025-02-15,Ratón ABC,Periféricos,20,9,PayPal,No
2025-02-07,Silla Gamer,Muebles,200,8,Tarjeta,No
2025-02-02,Impresora Jet,Impresión,250,5,PayPal,No
2025-02-16,Disco SSD,Almacenamiento,120,1,Financiación,No
2025-02-25,Webcam 4K,Periféricos,100,4,Tarjeta,No
2025-02-12,Monitor HD,Pantallas,150,6,PayPal,No
2025-02-07,Monitor HD,Pantallas,150,3,Tarjeta,No
2025-02-20,Impresora Jet,Impresión,250,8,Tarjeta,No
2025-02-03,Teclado XYZ,Periféricos,30,9,Tarjeta,No
2025-02-01,Disco SSD,Almacenamiento,120,6,Tarjeta,No
2025-02-16,Auriculares Pro,Audio,80,6,Financiación,No
2025-02-03,"Laptop 15""",Portátiles,900,3,Criptomoneda,No
2025-02-17,Mousepad XXL,Periféricos,15,1,PayPal,No
2025-02-25,Webcam 4K,Periféricos,100,8,Tarjeta,Sí
2025-02-08,Auriculares Pro,Audio,80,4,Tarjeta,No
2025-02-28,Ratón ABC,Periféricos,20,5,Criptomoneda,No
2025-02-17,Silla Gamer,Muebles,200,9,Tarjeta,No
2025-02-06,Monitor HD,Pantallas,150,2,Tarjeta,No
2025-02-02,Mousepad XXL,Periféricos,15,8,Financiación,No
2025-02-23,Auriculares Pro,Audio,80,8,Tarjeta,No
2025-02-11,Teclado XYZ,Periféricos,30,5,PayPal,No
2025-02-13,Teclado XYZ,Periféricos,30,1,Tarjeta,No
2025-02-21,Teclado XYZ,Periféricos,30,7,Financiación,No
2025-02-06,Auriculares Pro,Audio,80,3,PayPal,No
2025-02-10,Auriculares Pro,Audio,80,3,Tarjeta,No
2025-02-19,Teclado XYZ,Periféricos,30,4,Tarjeta,No
2025-02-28,Ratón ABC,Periféricos,20,8,Tarjeta,No
2025-02-22,Silla Gamer,Muebles,200,3,PayPal,No
2025-02-12,Silla Gamer,Muebles,200,5,Tarjeta,No
2025-02-16,Teclado XYZ,Periféricos,30,7,PayPal,No
2025-02-11,Ratón ABC,Periféricos,20,3,Financiación,No
2025-02-06,Ratón ABC,Periféricos,20,2,PayPal,No
2025-02-02,Monitor HD,Pantallas,150,4,PayPal,No
2025-02-10,Webcam 4K,Periféricos,100,3,PayPal,No
2025-02-24,Impresora Jet,Impresión,250,1,Tarjeta,No
2025-02-05,Disco SSD,Almacenamiento,120,2,PayPal,No
2025-02-15,Monitor HD,Pantallas,150,9,Tarjeta,No
2025-02-16,Silla Gamer,Muebles,200,8,Tarjeta,No
2025-02-03,Mousepad XXL,Periféricos,15,3,PayPal,No
2025-02-19,Impresora Jet,Impresión,250,3,Financiación,No
2025-02-22,Impresora Jet,Impresión,250,5,PayPal,No
2025-02-14,Impresora Jet,Impresión,250,2,Tarjeta,No
2025-02-26,Mousepad XXL,Periféricos,15,9,Tarjeta,No
2025-02-11,Disco SSD,Almacenamiento,120,1,Tarjeta,No
2025-02-03,Teclado XYZ,Periféricos,30,4,Tarjeta,No
2025-02-14,Silla Gamer,Muebles,200,7,PayPal,No
2025-02-14,Impresora Jet,Impresión,250,8,Tarjeta,No
2025-02-14,Webcam 4K,Periféricos,100,2,Tarjeta,No
2025-02-23,Mousepad XXL,Periféricos,15,5,Tarjeta,No
2025-02-07,Teclado XYZ,Periféricos,30,6,Tarjeta,Sí
2025-02-13,Teclado XYZ,Periféricos,30,4,Tarjeta,No
2025-02-13,Mousepad XXL,Periféricos,15,2,Tarjeta,No
2025-02-15,Ratón ABC,Periféricos,20,8,PayPal,No
2025-02-09,Impresora Jet,Impresión,250,5,Tarjeta,No
2025-02-27,Ratón ABC,Periféricos,20,8,Tarjeta,No
2025-02-01,Mousepad XXL,Periféricos,15,5,Tarjeta,Sí
2025-02-16,Webcam 4K,Periféricos,100,4,Financiación,Sí
2025-02-23,Disco SSD,Almacenamiento,120,9,Tarjeta,No
2025-02-05,Disco SSD,Almacenamiento,120,4,Criptomoneda,No
2025-02-28,"Laptop 15""",Portátiles,900,4,Tarjeta,No
2025-02-06,Disco SSD,Almacenamiento,120,3,Financiación,No
2025-02-26,Disco SSD,Almacenamiento,120,3,Financiación,No
2025-02-22,Impresora Jet,Impresión,250,4,Tarjeta,No
2025-02-12,Teclado XYZ,Periféricos,30,1,PayPal,No
2025-02-11,Auriculares Pro,Audio,80,4,Tarjeta,No
2025-02-18,Silla Gamer,Muebles,200,8,Tarjeta,Sí
2025-02-13,Ratón ABC,Periféricos,20,8,Financiación,No
2025-02-09,Auriculares Pro,Audio,80,1,Tarjeta,No
2025-02-23,Silla Gamer,Muebles,200,3,Tarjeta,No
2025-02-14,Ratón ABC,Periféricos,20,5,PayPal,No
2025-02-03,Monitor HD,Pantallas,150,1,PayPal,No
2025-02-11,Disco SSD,Almacenamiento,120,9,PayPal,No
2025-02-21,Monitor HD,Pantallas,150,5,Financiación,No
2025-02-04,Impresora Jet,Impresión,250,9,Financiación,No
2025-02-08,Disco SSD,Almacenamiento,120,7,PayPal,No
2025-02-01,Silla Gamer,Muebles,200,7,Tarjeta,No
2025-02-01,Teclado XYZ,Periféricos,30,7,PayPal,Sí
2025-02-19,Disco SSD,Almacenamiento,120,7,Tarjeta,No
2025-02-19,Webcam 4K,Periféricos,100,8,PayPal,Sí
2025-02-20,Teclado XYZ,Periféricos,30,7,PayPal,No
2025-02-01,Mousepad XXL,Periféricos,15,5,PayPal,Sí
2025-02-22,"Laptop 15""",Portátiles,900,2,PayPal,No
2025-02-22,Teclado XYZ,Periféricos,30,6,PayPal,No
2025-02-20,Disco SSD,Almacenamiento,120,8,PayPal,No
2025-02-12,"Laptop 15""",Portátiles,900,2,Tarjeta,No
2025-02-04,"Laptop 15""",Portátiles,900,5,Financiación,No
2025-02-06,Disco SSD,Almacenamiento,120,6,Tarjeta,No
2025-02-13,Impresora Jet,Impresión,250,8,PayPal,No
2025-02-28,Disco SSD,Almacenamiento,120,4,Financiación,No
2025-02-08,Auriculares Pro,Audio,80,1,PayPal,No
2025-02-19,Silla Gamer,Muebles,200,8,Financiación,No
2025-02-14,Teclado XYZ,Periféricos,30,5,Criptomoneda,No
2025-02-23,Silla Gamer,Muebles,200,9,Tarjeta,No
2025-02-08,Monitor HD,Pantallas,150,5,Tarjeta,No
2025-02-20,Impresora Jet,Impresión,250,9,Tarjeta,No
2025-02-25,"Laptop 15""",Portátiles,900,6,Tarjeta,No
2025-02-27,Ratón ABC,Periféricos,20,1,PayPal,Sí
2025-02-22,Monitor HD,Pantallas,150,8,PayPal,Sí
2025-02-24,Auriculares Pro,Audio,80,1,Tarjeta,No
2025-02-26,Silla Gamer,Muebles,200,2,PayPal,Sí
2025-02-09,"Laptop 15""",Portátiles,900,1,PayPal,No
2025-02-17,Disco SSD,Almacenamiento,120,7,PayPal,Sí
2025-02-19,Webcam 4K,Periféricos,100,8,Financiación,No
2025-02-13,Teclado XYZ,Periféricos,30,8,PayPal,No
2025-02-15,Monitor HD,Pantallas,150,2,PayPal,No
2025-02-06,Ratón ABC,Periféricos,20,3,Tarjeta,Sí
2025-02-07,Webcam 4K,Periféricos,100,3,Tarjeta,No
2025-02-28,Ratón ABC,Periféricos,20,1,Tarjeta,Sí
2025-02-07,Ratón ABC,Periféricos,20,8,Tarjeta,No
2025-02-23,Disco SSD,Almacenamiento,120,8,Tarjeta,No
2025-02-19,Monitor HD,Pantallas,150,1,PayPal,No
2025-02-24,Monitor HD,Pantallas,150,8,Financiación,No
2025-02-05,"Laptop 15""",Portátiles,900,6,Tarjeta,No
2025-02-07,Ratón ABC,Periféricos,20,7,PayPal,No
2025-02-04,Monitor HD,Pantallas,150,2,Financiación,No
2025-02-11,"Laptop 15""",Portátiles,900,2,Tarjeta,Sí
2025-02-05,"Laptop 15""",Portátiles,900,5,Tarjeta,No
2025-02-21,Ratón ABC,Periféricos,20,3,Financiación,No
2025-02-17,Disco SSD,Almacenamiento,120,8,Criptomoneda,No
2025-02-18,Teclado XYZ,Periféricos,30,3,PayPal,No
2025-02-13,Ratón ABC,Periféricos,20,9,Tarjeta,Sí
2025-02-26,"Laptop 15""",Portátiles,900,2,Tarjeta,Sí
2025-02-21,Ratón ABC,Periféricos,20,4,Tarjeta,Sí
2025-02-25,Auriculares Pro,Audio,80,6,Financiación,No
2025-02-22,Impresora Jet,Impresión,250,5,Tarjeta,No
2025-02-02,Disco SSD,Almacenamiento,120,9,Tarjeta,No
2025-02-26,Teclado XYZ,Periféricos,30,5,Tarjeta,No
2025-02-28,Ratón ABC,Periféricos,20,6,PayPal,Sí
2025-02-19,"Laptop 15""",Portátiles,900,5,Financiación,No
2025-02-17,"Laptop 15""",Portátiles,900,7,PayPal,No
2025-02-15,Webcam 4K,Periféricos,100,8,Financiación,No
2025-02-26,Teclado XYZ,Periféricos,30,4,PayPal,Sí
2025-02-11,"Laptop 15""",Portátiles,900,1,Tarjeta,No
2025-02-09,Ratón ABC,Periféricos,20,2,Tarjeta,Sí
2025-02-01,Teclado XYZ,Periféricos,30,9,PayPal,No
2025-02-07,Mousepad XXL,Periféricos,15,3,Financiación,No
2025-02-06,Monitor HD,Pantallas,150,2,Tarjeta,No
2025-02-17,Teclado XYZ,Periféricos,30,9,Tarjeta,Sí
2025-02-19,Disco SSD,Almacenamiento,120,8,PayPal,No
2025-02-22,Auriculares Pro,Audio,80,6,Criptomoneda,No
2025-02-09,Impresora Jet,Impresión,250,7,Criptomoneda,No
2025-02-26,Silla Gamer,Muebles,200,7,Tarjeta,No
2025-02-19,Mousepad XXL,Periféricos,15,8,Criptomoneda,No
2025-02-20,Ratón ABC,Periféricos,20,7,Tarjeta,No
2025-02-17,Webcam 4K,Periféricos,100,8,Tarjeta,Sí
2025-02-03,Ratón ABC,Periféricos,20,5,PayPal,No
2025-02-12,Webcam 4K,Periféricos,100,7,Tarjeta,No
2025-02-25,Silla Gamer,Muebles,200,2,PayPal,No
2025-02-23,Ratón ABC,Periféricos,20,3,Financiación,Sí
2025-02-13,Webcam 4K,Periféricos,100,2,Financiación,No
2025-02-14,Webcam 4K,Periféricos,100,4,Tarjeta,Sí
2025-02-12,Auriculares Pro,Audio,80,9,PayPal,No
2025-02-10,Mousepad XXL,Periféricos,15,9,Tarjeta,No
2025-02-17,Teclado XYZ,Periféricos,30,3,Tarjeta,No
2025-02-04,Ratón ABC,Periféricos,20,2,Tarjeta,Sí
2025-02-21,Teclado XYZ,Periféricos,30,9,Tarjeta,No
2025-02-12,"Laptop 15""",Portátiles,900,5,PayPal,Sí
2025-02-07,Silla Gamer,Muebles,200,8,Financiación,No
2025-02-25,Ratón ABC,Periféricos,20,7,Criptomoneda,No
2025-02-22,"Laptop 15""",Portátiles,900,5,Financiación,Sí
2025-02-25,Ratón ABC,Periféricos,20,9,Tarjeta,No
2025-02-05,Silla Gamer,Muebles,200,5,PayPal,No
2025-02-03,Mousepad XXL,Periféricos,15,4,Criptomoneda,Sí
2025-02-03,Impresora Jet,Impresión,250,2,Tarjeta,No
2025-02-03,Monitor HD,Pantallas,150,6,PayPal,No
2025-02-09,Mousepad XXL,Periféricos,15,4,PayPal,Sí
2025-02-24,Mousepad XXL,Periféricos,15,3,Tarjeta,No
2025-02-25,Monitor HD,Pantallas,150,2,Financiación,No
2025-02-25,Disco SSD,Almacenamiento,120,5,PayPal,No
2025-02-08,Silla Gamer,Muebles,200,5,Tarjeta,No
2025-02-28,Auriculares Pro,Audio,80,5,Criptomoneda,Sí
2025-02-26,Monitor HD,Pantallas,150,3,Tarjeta,No
2025-02-06,Teclado XYZ,Periféricos,30,8,PayPal,No
2025-02-27,Teclado XYZ,Periféricos,30,9,Tarjeta,No
2025-02-10,Auriculares Pro,Audio,80,4,PayPal,No
2025-02-05,Webcam 4K,Periféricos,100,9,Tarjeta,No
2025-02-11,Impresora Jet,Impresión,250,5,PayPal,Sí
2025-02-02,"Laptop 15""",Portátiles,900,7,Tarjeta,Sí
2025-02-09,Teclado XYZ,Periféricos,30,1,Tarjeta,No
2025-02-13,Disco SSD,Almacenamiento,120,3,Tarjeta,No
2025-02-10,Webcam 4K,Periféricos,100,9,Criptomoneda,No
2025-02-22,Auriculares Pro,Audio,80,4,Tarjeta,No
2025-02-27,"Laptop 15""",Portátiles,900,1,PayPal,No
2025-02-01,Silla Gamer,Muebles,200,6,PayPal,Sí
2025-02-14,Ratón ABC,Periféricos,20,4,PayPal,No
2025-02-11,Webcam 4K,Periféricos,100,1,Tarjeta,No
2025-02-11,Monitor HD,Pantallas,150,7,Tarjeta,No
2025-02-17,"Laptop 15""",Portátiles,900,3,Tarjeta,Sí
2025-02-11,Webcam 4K,Periféricos,100,4,Financiación,No
2025-02-22,"Laptop 15""",Portátiles,900,3,Criptomoneda,Sí
2025-02-15,Auriculares Pro,Audio,80,5,PayPal,No
2025-02-05,Mousepad XXL,Periféricos,15,3,Tarjeta,No
2025-02-15,Silla Gamer,Muebles,200,2,Tarjeta,Sí
2025-02-24,Mousepad XXL,Periféricos,15,2,Financiación,No
2025-02-28,Disco SSD,Almacenamiento,120,9,Financiación,No
2025-02-20,Ratón ABC,Periféricos,20,7,PayPal,Sí
2025-02-24,Auriculares Pro,Audio,80,3,Tarjeta,No
2025-02-17,Webcam 4K,Periféricos,100,4,Tarjeta,No
2025-02-28,Mousepad XXL,Periféricos,15,6,PayPal,No
2025-02-08,Disco SSD,Almacenamiento,120,1,Tarjeta,Sí
2025-02-14,Ratón ABC,Periféricos,20,6,Tarjeta,No
2025-02-28,Teclado XYZ,Periféricos,30,6,Financiación,No
